Search keyword
4 May 2026 - 10 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
ellenbrook gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,27,200,13.50%,2.40,64.67,72.63%,86.32%,3.59,0,18.00,13.31%,323.37
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,24,250,9.60%,2.59,62.16,44.44%,82.54%,3.00,0,20.72,12.50%,248.63
gyms in ellenbrook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,19,186,10.22%,2.75,52.27,62.96%,85.19%,0.00,0,0,0.00%,281.03
Ellenbrook fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,18,126,14.29%,2.34,42.15,57.38%,88.52%,9.00,0,4.68,50.00%,334.53
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,11,123,8.94%,1.50,16.45,48.00%,84.00%,0.00,0,0,0.00%,133.74
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,6,115,5.22%,1.95,11.70,38.78%,77.55%,0.00,0,0,0.00%,101.78
gym with kids club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,5,13,38.46%,0.16,0.79,71.43%,100.00%,0.00,0,0,0.00%,60.77
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,24,16.67%,0.89,3.55,45.45%,81.82%,0.00,0,0,0.00%,147.99
chasing better gym ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,19,21.05%,0.81,3.25,57.14%,71.43%,0.00,0,0,0.00%,171.05
swan valley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,4,25,16.00%,2.99,11.94,40.00%,66.67%,0.00,0,0,0.00%,477.78
Henley Brook Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,3,15,20.00%,1.59,4.78,80.00%,100.00%,0.00,0,0,0.00%,318.83
gyms ellenbrook,Eligible,,Exact match,Ellenbrook Gym,Ellenbrook,AUD,0.01,2,60,3.33%,3.95,7.89,64.29%,92.86%,0.00,0,0,0.00%,131.50
reformer pilates ellenbrook,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,1,19,5.26%,0.52,0.52,33.33%,88.89%,0.00,0,0,0.00%,27.37
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,11,9.09%,0.93,0.93,75.00%,75.00%,0.00,0,0,0.00%,84.40
gym with ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,2,50.00%,4.25,4.25,0.00%,100.00%,0.00,0,0,0.00%,2125.00
gym aveley,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,5,20.00%,8.04,8.04,66.67%,100.00%,0.00,0,0,0.00%,1608.00
24 hour fitness,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,6,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
24 hour gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,6,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with sauna near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fitness classes Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
group fitness Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
chasing better ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,7,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
24/7 gym Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
personal trainer Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym brabham,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
aveley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,9,0.00%,0,0.00,33.33%,100.00%,0.00,0,0,0,0.00
Brabham Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym Henley Brook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
