"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.chasingbetter247.com.au/","1","ChasingBetter247 | Health & Fitness Club","40","366","Indexable",""
"https://www.chasingbetter247.com.au/group-fitness-timetable","1","Group Fitness Timetable at ChasingBetter247","43","408","Indexable",""
"https://www.chasingbetter247.com.au/resources/fifo-members","1","FIFO Members at ChasingBetter247","32","319","Indexable",""
"https://www.chasingbetter247.com.au/resources/about-us","1","About Us","8","81","Indexable",""
"https://www.chasingbetter247.com.au/neon21","1","NEON21 | Strength Training Workout Classes at ChasingBetter247","62","588","Indexable",""
"https://www.chasingbetter247.com.au/blog","1","Blog","4","39","Indexable",""
"https://www.chasingbetter247.com.au/resources/post-workout-recovery","1","Post-Workout Recovery at ChasingBetter247","41","396","Indexable",""
"https://www.chasingbetter247.com.au/resources/virtual-training","1","Virtual Training","16","137","Indexable",""
"https://www.chasingbetter247.com.au/contact","1","Contact Us at ChasingBetter247","30","286","Indexable",""
"https://www.chasingbetter247.com.au/book-a-tour","1","Book a Gym Tour in Malaga or Ellenbrook at ChasingBetter247","59","553","Indexable",""
"https://www.chasingbetter247.com.au/sitemap","1","Sitemap at ChasingBetter247","27","263","Indexable",""
"https://www.chasingbetter247.com.au/massage","1","Balinese Massage in Perth | Relaxation & Recovery Services","58","530","Indexable",""
"https://www.chasingbetter247.com.au/chasingrx-classes","1","ChasingRX at ChasingBetter247","29","285","Indexable",""
"https://www.chasingbetter247.com.au/spin-classes","1","Spin at ChasingBetter247","24","227","Indexable",""
"https://www.chasingbetter247.com.au/reformer-pilates","1","Reformer Pilates at ChasingBetter247","36","339","Indexable",""
"https://www.chasingbetter247.com.au/kids-hub","1","Kids Hub","8","80","Indexable",""
"https://www.chasingbetter247.com.au/casual-passes","1","Casual Guest & Day Passes at ChasingBetter247","45","432","Indexable",""
"https://www.chasingbetter247.com.au/careers","1","Careers at ChasingBetter247","27","258","Indexable",""
"https://www.chasingbetter247.com.au/resources/fitness-passport","1","Fitness Passport","16","150","Indexable",""
"https://www.chasingbetter247.com.au/terms-conditions","1","Terms & Conditions | ChasingBetter247","37","350","Indexable",""
"https://www.chasingbetter247.com.au/faqs","1","FAQs for Membership, Payment, Services at ChasingBetter247","58","557","Indexable",""
"https://www.chasingbetter247.com.au/personal-training","1","Personal Training at ChasingBetter247","37","345","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/liam-phelps","1","Liam Phelps | Personal Trainer at ChasingBetter247","50","462","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/cassius-kelly","1","Cassius Kelly | Personal Trainer at ChasingBetter247","52","469","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/briana-peterson","1","Briana Peterson","15","143","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/micah-chang","1","Micah Chang | Personal Trainer at ChasingBetter247","50","467","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/nhung-dam","1","Nhung Dam | Personal Trainer at ChasingBetter247","48","456","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/bree-marlow","1","Bree Marlow | Personal Trainer at ChasingBetter247","50","463","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/stefani-ameduri","1","Stefani Ameduri | Personal Trainer at ChasingBetter247","54","496","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/sasha-hendry","1","Sasha Hendry | Personal Trainer at ChasingBetter247","51","474","Indexable",""
"https://www.chasingbetter247.com.au/personal-training/fariba-ceeley","1","Fariba Ceeley | Personal Trainer at ChasingBetter247","52","472","Indexable",""
"https://www.chasingbetter247.com.au/blog/pop-up-classes","1","Pop-up Classes","14","138","Indexable",""
"https://www.chasingbetter247.com.au/blog/hip-thrusts-vs-back-squats-which-is-better-for-glutes","1","Hip Thrusts vs Back Squats: Which is Better for Glutes?","55","490","Indexable",""
"https://www.chasingbetter247.com.au/chasing-better-app","1","Chasing Better App","18","172","Indexable",""
"https://www.chasingbetter247.com.au/blog/best-gyms-in-perth-7-things-to-check-before-you-join","1","Best Gyms in Perth: How to Choose the Right Membership","54","518","Indexable",""
"https://www.chasingbetter247.com.au/blog/strong-looks-different-on-everyone","1","Strength Training for Real Fitness","34","299","Indexable",""
"https://www.chasingbetter247.com.au/blog/7-cues-for-better-bench-press","1","7 Cues for Better Bench Press","29","267","Indexable",""
"https://www.chasingbetter247.com.au/blog?338b1cd1_page=2","1","Blog","4","39","Indexable",""
"https://www.chasingbetter247.com.au/blog?338b1cd1_page=1","1","Blog","4","39","Non-Indexable","Canonicalised"
